# time    temp_kitchen_old_filtered_Mai_2016 (processed by pp_show_filtering.py)
2016-05-17T12:01:41Z    19.3996294453
2016-05-17T12:28:21Z    19.4736998806
2016-05-17T12:55:01Z    19.5159435441
2016-05-17T13:21:41Z    19.5255233407
2016-05-17T13:48:21Z    19.5025397855
2016-05-17T14:15:02Z    19.4480291228
2016-05-17T14:41:42Z    19.3639219376
2016-05-17T15:08:22Z    19.2529633197
2016-05-17T15:35:02Z    19.1185977883
2016-05-17T16:01:42Z    18.9648242538
2016-05-17T16:28:22Z    18.7960281099
2016-05-17T16:55:02Z    18.616798962
2016-05-17T17:21:42Z    18.4317433839
2016-05-17T17:55:02Z    18.1989664784
2016-05-17T18:21:42Z    18.0165156782
2016-05-17T18:48:23Z    17.841230813
2016-05-17T19:15:03Z    17.6759793751
2016-05-17T19:41:43Z    17.5229367507
2016-05-17T20:08:23Z    17.3835528465
2016-05-17T20:35:03Z    17.2585579246
2016-05-17T21:01:43Z    17.1480060089
2016-05-17T21:28:23Z    17.0513522071
2016-05-17T21:55:03Z    16.967558536
2016-05-17T22:21:43Z    16.8952214446
2016-05-17T22:48:23Z    16.8327132532
2016-05-17T23:15:03Z    16.7783292123
2016-05-17T23:41:44Z    16.7304318388
2016-05-18T00:08:24Z    16.687584596
2016-05-18T00:35:04Z    16.6486677886
2016-05-18T01:01:44Z    16.6129706807
2016-05-18T01:28:24Z    16.5802552441
2016-05-18T01:55:04Z    16.5507885193
2016-05-18T02:21:44Z    16.5253422382
2016-05-18T02:48:24Z    16.5051600282
2016-05-18T03:15:04Z    16.4918941283
2016-05-18T03:41:44Z    16.4875150181
2016-05-18T04:08:25Z    16.4941986459
2016-05-18T04:35:05Z    16.514196979
2016-05-18T05:01:45Z    16.5496983765
2016-05-18T05:28:25Z    16.6026847612
2016-05-18T05:55:05Z    16.6747927404
2016-05-18T06:21:45Z    16.7671856889
2016-05-18T06:48:25Z    16.8804433701
2016-05-18T07:15:05Z    17.0144749602
2016-05-18T07:41:45Z    17.1684603698
